(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B000EVYGZA,B000EVYGZA,"INNOVA 3320 Auto-Ranging Digital Multimeter, Red & Black",3320.,586,15,43.63%,37.50%,800,17,39.92%,33.33%,7.31%,7.14%,1,0,0.17%,0.00%,$34.99,$0.00,1,0
B0FD96SNT2,B000KIMHRQ,"Innova 3340 Professional Automotive Digital Multimeter, Black",3340.,757,25,56.37%,62.50%,"1,204",34,60.08%,66.67%,1.40%,0.00%,1,0,0.13%,0.00%,$99.99,$0.00,1,0
