Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Equus Products, Inc.],Locale=[en_US],Currency=[USD],Search for ASINs=[B001O1X65A;B000EVYGZA;B000KIMHRQ],Reporting Range=[Custom],Viewing Range=[3/1/26 - 4/1/26],Report Updated=[4/11/26]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Units","Shipped Revenue","Shipped COGS","Shipped Units","Customer Returns"
B000EVYGZA,"INNOVA 3320 Auto-Ranging Digital Multimeter, Red & Black",Innova,"$10,591.29",295,"$11,125.81","$4,857.70",310,24
B000KIMHRQ,"Innova 3340 Professional Automotive Digital Multimeter, Black",Innova,"$7,400.97",78,"$7,040.01","$4,168.59",74,3
