Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Equus Products, Inc.],Locale=[en_US],Currency=[USD],Search for ASINs=[B001O1X65A;B000EVYGZA;B000KIMHRQ],Reporting Range=[Custom],Viewing Range=[10/1/25 - 11/1/25],Report Updated=[4/11/26]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Units","Shipped Revenue","Shipped COGS","Shipped Units","Customer Returns"
B000EVYGZA,"INNOVA 3320 Auto-Ranging Digital Multimeter, Red & Black",Innova,"$14,856.49",519,"$14,794.03","$8,096.10",516,21
B000KIMHRQ,"Innova 3340 Professional Automotive Digital Multimeter, Black",Innova,"$6,722.25",96,"$6,582.27","$5,297.84",94,5
