Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Equus Products, Inc.],Locale=[en_US],Currency=[USD],Search for ASINs=[B001O1X65A;B000EVYGZA;B000KIMHRQ],Reporting Range=[Custom],Viewing Range=[1/1/25 - 2/1/25],Report Updated=[4/11/26]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Units","Shipped Revenue","Shipped COGS","Shipped Units","Customer Returns"
B000EVYGZA,"INNOVA 3320 Auto-Ranging Digital Multimeter, Red & Black",Innova,"$13,457.25",415,"$13,505.29","$6,424.70",410,31
B000KIMHRQ,"Innova 3340 Professional Automotive Digital Multimeter, Black",Innova,"$6,589.19",77,"$6,179.25","$4,001.56",71,4
