Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Equus Products, Inc.],Locale=[en_US],Currency=[USD],Search for ASINs=[B001O1X65A;B000EVYGZA;B000KIMHRQ],Reporting Range=[Custom],Viewing Range=[1/1/26 - 2/1/26],Report Updated=[4/11/26]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Units","Shipped Revenue","Shipped COGS","Shipped Units","Customer Returns"
B000EVYGZA,"INNOVA 3320 Auto-Ranging Digital Multimeter, Red & Black",Innova,"$13,713.83",464,"$13,869.86","$7,349.01",469,22
B000KIMHRQ,"Innova 3340 Professional Automotive Digital Multimeter, Black",Innova,"$6,859.02",98,"$6,509.07","$5,241.48",93,6
