Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Equus Products, Inc.],Locale=[en_US],Currency=[USD],Search for ASINs=[B001O1X65A;B000EVYGZA;B000KIMHRQ],Reporting Range=[Custom],Viewing Range=[2/1/26 - 3/1/26],Report Updated=[4/11/26]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Units","Shipped Revenue","Shipped COGS","Shipped Units","Customer Returns"
B000EVYGZA,"INNOVA 3320 Auto-Ranging Digital Multimeter, Red & Black",Innova,"$11,073.95",323,"$11,031.25","$5,092.87",325,18
B000KIMHRQ,"Innova 3340 Professional Automotive Digital Multimeter, Black",Innova,"$5,443.60",76,"$6,000.42","$4,732.40",84,7
