"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0FHCQYXRP","https://m.media-amazon.com/images/I/71c2bWo0-ML._SX450_.jpg","B0FHCQYXRP","Ralcam Two-Way Articulating Borescope with 10FT Semi-Rigid Cable, 0.33in/8.5mm Inspection Endoscope Camera with Light HD Video Snake Camera Scope for Automotive Aircraft Mechanics","Ralcam","FBA","Industrial & Scientific",76317,"N/A","N/A","N/A","N/A","Borescopes",203,129.99,"N/A",74,2,-70,7300.94,266.63,184,4.6,"Ralcam","China",1,1804,"N/A","Large Standard-Size",3.11,8.7,12.48,3,170.01,468.99,"11/30/2024",8,9,5,0.4
"https://amazon.com/dp/B0BVML78W1","https://m.media-amazon.com/images/I/71f1ucrlQyL._SX450_.jpg","B0BVML78W1","DEPSTECH Endoscope, 7'' IPS Screen Borescope Camera with Light, Triple-Lens Inspection Camera with Sound Recording, 1080P HD 7.9 mm Snake Camera, 16.5ft Gooseneck Camera for Automotive Wall Pipe HVAC","DEPSTECH","FBA","Industrial & Scientific",76338,"N/A","N/A","N/A","N/A","Borescopes",190,104.39,-55,77,77,65,8024.39,8023.51,190,4.6,"DEPSTECH Authorized Store","China",1,774,-37,"Large Standard-Size",4.92,11.97,14.41,6.31,427.27,1178.67,"03/31/2024",37,8,0,0.4
"https://amazon.com/dp/B0F6CP46VD","https://m.media-amazon.com/images/I/611QKUY7QAL._SX450_.jpg","B0F6CP46VD","VEVOR Endoscope Camera with Light, Dual Lens Borescope for Android & iOS, 1920P HD Inspection Camera with 8 + 1 LED Light, 2X Zoom, 16.4FT Snake Cable, IP67 Waterproof Snake Camera for Auto, Plumbing","VEVOR","FBM","Industrial & Scientific",76346,197988674665,"N/A",0197988674665,"N/A","Borescopes",210,23.99,-31,22,10,-17,537.8,238.78,25,4.2,"VEVOR Shop","China",1,0,"N/A","Large Standard-Size",6.02,5.43,1.18,0.44,"N/A","N/A","09/30/2025",10,9,2,0.9
"https://amazon.com/dp/B0GL4F1PJ6","https://m.media-amazon.com/images/I/4184HiWWYtL._SX450_.jpg","B0GL4F1PJ6","Klaray UW19-MP60 Two-Way Articulating Borescope with Light, 6mm Inspection Camera for iPhone & Android, Type-C & Lightning Compatible Flexible Snake Camera for Automotive Engine Inspection, 3.3FT","Klaray","-","Industrial & Scientific",76357,199284234642,"N/A",0199284234642,"N/A","Borescopes",216,77.99,"N/A",0,0,,"-","-","N/A","N/A",,"N/A",1,0,"N/A","Large Standard-Size",3,8.5,14.75,2,"N/A","N/A","-",1,"N/A",0,"N/A"
"https://amazon.com/dp/B0FDB5C1T6","https://m.media-amazon.com/images/I/71b-EjmkssL._SX450_.jpg","B0FDB5C1T6","Preciva Endoscope Camera with Dual Lenses, 1920P HD Borescope Camera with 8 Adjustable LED Lights, 16.5ft Semi-Rigid for iOS and Android","Preciva","FBA","Industrial & Scientific",76474,"N/A","N/A","N/A","N/A","Borescopes",211,19.99,2,17,17,-34,358.33,358.13,34,4.4,"TPSKJ","China",1,0,"N/A","Large Standard-Size",1.54,5,8.78,0.4,34.04,93.9,"10/31/2025",9,8,0,0.51
"https://amazon.com/dp/B08QCCZHC6","https://m.media-amazon.com/images/I/617amPgvC6L._SX450_.jpg","B08QCCZHC6","Teslong Endoscope Replacement Cable with Light, Dual Lens Inspection Camera 5.5mm/0.21inch Waterproof Probe Compatible with NTS500, NTS300(3.3FT)","Teslong","FBA","Industrial & Scientific",76508,"N/A","N/A","N/A","N/A","Borescopes",198,89.99,-21,64,64,-51,5755,5754.24,50,4.6,"Teslong","China",1,700,"N/A","Large Standard-Size",1.85,5.63,6.46,0.31,33.88,93.45,"10/31/2025",63,6,0,1.28
"https://amazon.com/dp/B0FLXRVP6M","https://m.media-amazon.com/images/I/616DcFZihUL._SX450_.jpg","B0FLXRVP6M","THINKCAR TES102 Endoscope Camera with Light, 0.21 Inch HD Borescope with 6 Adjustable LED Light, IP67 Waterproof Semi-Rigid Snake Camera, One Click Snapshot Inspection Borescope","thinkcar","FBA","Industrial & Scientific",76698,768297281662,"N/A",0768297281662,"N/A","Borescopes",212,59.98,-11,42,42,1,2525.8,2525.25,23,4.1,"THINKCAR OFFICIAL","China",1,0,"N/A","Large Standard-Size",1.93,5.16,11.5,0.62,57.66,159.06,"10/31/2025",7,8,0,1.83
"https://amazon.com/dp/B0CLLJSCJ9","https://m.media-amazon.com/images/I/713wfsTzFUL._SX450_.jpg","B0CLLJSCJ9","Sewer Camera Self Leveling, Anysun Sewer Inspection Camera 100ft with 9'' Monitor and DVR Recorder with 32GB Card, Meter Marker, 12 Adjustable Lights","anysun","FBA","Industrial & Scientific",76766,774182346200,"N/A",0774182346200,"N/A","Borescopes",198,499.99,-20,20,7,250,12680.94,4087.35,32,4.5,"Nedive","Hong Kong",1,258,"N/A","Large bulky",11.5,17.5,19.5,16.65,1271.79,3179.47,"03/31/2024",41,7,5,0.64
"https://amazon.com/dp/B0DBXZBFRL","https://m.media-amazon.com/images/I/71XBmg2VLFL._SX450_.jpg","B0DBXZBFRL","Borescope1920P HD Endoscopic Camera - with 8 Adjustable LEDs, 16.4ft Semi-Rigid Serpentine Camera, 7.9mm IP67 Waterproof Inspection Tool for iOS and Android Devices Gift","UNAZZUE","FBA","Industrial & Scientific",76829,"N/A","N/A","N/A","N/A","Borescopes",213,15.99,-9,53,53,-100,900.37,899.71,55,4.5,"yushunhui","China",1,1405,"N/A","Large Standard-Size",1.54,5.08,5.12,0.55,20.17,55.63,"11/30/2025",19,9,0,0.96
"https://amazon.com/dp/B0D14P2NKP","https://m.media-amazon.com/images/I/610MBkedNML._SX450_.jpg","B0D14P2NKP","Endoscope Borescope Camera with Light, 4.3"" IPS HD Garage Inspection Camera Tools, IP67 Waterproof Drain Pipe Borescope, 8 LEDs, 16.5FT Semi-Rigid Cable for Sewer, Automotive Engine, HVAC, Pipe","Binazon","FBA","Industrial & Scientific",77940,"N/A","N/A","N/A","N/A","Borescopes",195,27.99,-36,22,22,86,603.32,603,64,4.2,"Binazon","China",1,237,"N/A","Large Standard-Size",3.03,4.8,7.28,1.08,53.31,147.06,"11/30/2024",23,8,0,0.35
